Gender,Invoice_ID,Branch,City,Customer_type,Product_line,Unit_price,Quantity,Sales,Tax
Female,400-45-1220,B,Mandalay,Normal,Health and beauty,13.5,10,135,6.75
Female,860-79-0874,C,Naypyitaw,Member,Fashion accessories,99.3,10,993,49.65
Female,115-99-4379,B,Mandalay,Member,Fashion accessories,54.73,7,383.11,19.1555
Female,320-49-6392,C,Naypyitaw,Normal,Electronic accessories,30.24,1,30.24,1.512
Female,889-04-9723,B,Mandalay,Member,Food and beverages,89.14,4,356.56,17.828
Female,632-90-0281,C,Naypyitaw,Normal,Fashion accessories,37.55,10,375.5,18.775
Female,554-42-2417,C,Naypyitaw,Normal,Sports and travel,95.44,10,954.4,47.72
Female,605-72-4132,C,Naypyitaw,Normal,Food and beverages,94.47,8,755.76,37.788
Female,272-27-9238,C,Naypyitaw,Normal,Food and beverages,41.24,4,164.96,8.248
Female,834-25-9262,C,Naypyitaw,Normal,Fashion accessories,81.68,4,326.72,16.336
Female,122-61-9553,C,Naypyitaw,Normal,Electronic accessories,51.32,9,461.88,23.094
Female,613-59-9758,C,Naypyitaw,Normal,Sports and travel,14.36,10,143.6,7.18
Female,201-86-2184,B,Mandalay,Member,Electronic accessories,26.26,7,183.82,9.191
Female,261-12-8671,B,Mandalay,Normal,Fashion accessories,60.96,2,121.92,6.096
Female,730-70-9830,C,Naypyitaw,Normal,Home and lifestyle,70.11,6,420.66,21.033
Female,422-29-8786,A,Yangon,Normal,Home and lifestyle,67.09,5,335.45,16.7725
Female,667-23-5919,A,Yangon,Member,Fashion accessories,96.7,5,483.5,24.175
Female,843-01-4703,B,Mandalay,Member,Home and lifestyle,35.38,9,318.42,15.921
Female,182-69-8360,B,Mandalay,Normal,Electronic accessories,23.65,4,94.6,4.73
Female,462-78-5240,C,Naypyitaw,Normal,Electronic accessories,26.61,2,53.22,2.661
Female,868-52-7573,B,Mandalay,Normal,Food and beverages,99.69,5,498.45,24.9225
Female,153-58-4872,C,Naypyitaw,Member,Food and beverages,74.89,4,299.56,14.978
Female,662-72-2873,A,Yangon,Normal,Food and beverages,40.94,5,204.7,10.235
Female,725-56-0833,A,Yangon,Normal,Health and beauty,32.32,10,323.2,16.16
Female,394-41-0748,C,Naypyitaw,Member,Fashion accessories,54.07,9,486.63,24.3315
Female,541-89-9860,C,Naypyitaw,Member,Fashion accessories,80.48,3,241.44,12.072
Female,173-82-9529,B,Mandalay,Normal,Fashion accessories,37.95,10,379.5,18.975
Female,308-47-4913,A,Yangon,Member,Sports and travel,52.26,10,522.6,26.13
Female,885-17-6250,A,Yangon,Normal,Health and beauty,79.74,1,79.74,3.987
Female,726-27-2396,A,Yangon,Normal,Health and beauty,77.5,5,387.5,19.375
Female,316-01-3952,A,Yangon,Normal,Food and beverages,54.27,5,271.35,13.5675
Female,793-10-3222,B,Mandalay,Member,Health and beauty,41.06,6,246.36,12.318
Female,110-05-6330,C,Naypyitaw,Normal,Food and beverages,39.43,6,236.58,11.829
Female,831-64-0259,B,Mandalay,Normal,Fashion accessories,39.75,5,198.75,9.9375
Female,587-03-7455,C,Naypyitaw,Member,Fashion accessories,97.79,7,684.53,34.2265
Female,725-32-9708,B,Mandalay,Member,Fashion accessories,68.71,4,274.84,13.742
Female,256-08-8343,A,Yangon,Normal,Home and lifestyle,56.53,4,226.12,11.306
Female,372-26-1506,C,Naypyitaw,Normal,Fashion accessories,23.82,5,119.1,5.955
Female,244-08-0162,B,Mandalay,Normal,Health and beauty,34.21,10,342.1,17.105
Female,750-57-9686,C,Naypyitaw,Normal,Home and lifestyle,45.38,4,181.52,9.076
Female,186-09-3669,C,Naypyitaw,Member,Health and beauty,81.51,1,81.51,4.0755
Female,848-07-1692,B,Mandalay,Normal,Health and beauty,57.22,2,114.44,5.722
Female,745-71-3520,A,Yangon,Member,Electronic accessories,25.22,7,176.54,8.827
Female,266-76-6436,C,Naypyitaw,Member,Food and beverages,38.6,3,115.8,5.79
Female,740-22-2500,C,Naypyitaw,Normal,Electronic accessories,84.05,3,252.15,12.6075
Female,271-88-8734,C,Naypyitaw,Member,Fashion accessories,97.21,10,972.1,48.605
Female,650-98-6268,B,Mandalay,Member,Food and beverages,20.87,3,62.61,3.1305
Female,325-77-6186,A,Yangon,Member,Home and lifestyle,90.65,10,906.5,45.325
Female,459-50-7686,A,Yangon,Normal,Electronic accessories,23.46,6,140.76,7.038
Female,837-55-7229,B,Mandalay,Normal,Fashion accessories,47.44,1,47.44,2.372
Female,810-60-6344,C,Naypyitaw,Normal,Electronic accessories,40.86,8,326.88,16.344
Female,394-30-3170,B,Mandalay,Member,Sports and travel,88.43,8,707.44,35.372
Female,138-17-5109,A,Yangon,Member,Home and lifestyle,89.21,9,802.89,40.1445
Female,301-11-9629,A,Yangon,Normal,Sports and travel,19.1,7,133.7,6.685
Female,390-80-5128,B,Mandalay,Member,Health and beauty,19.15,1,19.15,0.9575
Female,296-11-7041,B,Mandalay,Member,Health and beauty,27.07,1,27.07,1.3535
Female,449-27-2918,B,Mandalay,Member,Sports and travel,39.12,1,39.12,1.956
Female,891-01-7034,B,Mandalay,Normal,Electronic accessories,74.71,6,448.26,22.413
Female,727-17-0390,A,Yangon,Normal,Food and beverages,63.61,5,318.05,15.9025
Female,767-54-1907,B,Mandalay,Member,Fashion accessories,29.56,5,147.8,7.39
Female,710-46-4433,B,Mandalay,Member,Food and beverages,77.4,9,696.6,34.83
Female,325-90-8763,C,Naypyitaw,Member,Electronic accessories,46.57,10,465.7,23.285
Female,234-03-4040,B,Mandalay,Member,Food and beverages,73.05,10,730.5,36.525
Female,326-71-2155,C,Naypyitaw,Normal,Sports and travel,73.95,4,295.8,14.79
Female,320-32-8842,C,Naypyitaw,Member,Food and beverages,22.62,1,22.62,1.131
Female,878-30-2331,C,Naypyitaw,Member,Sports and travel,54.55,10,545.5,27.275
Female,440-59-5691,C,Naypyitaw,Member,Health and beauty,37.15,7,260.05,13.0025
Female,233-34-0817,C,Naypyitaw,Member,Electronic accessories,98.84,1,98.84,4.942
Female,767-05-1286,C,Naypyitaw,Member,Home and lifestyle,83.77,6,502.62,25.131
Female,340-21-9136,A,Yangon,Member,Sports and travel,40.05,4,160.2,8.01
Female,676-39-6028,A,Yangon,Member,Electronic accessories,64.44,5,322.2,16.11
Female,485-30-8700,A,Yangon,Normal,Sports and travel,33.26,5,166.3,8.315
Female,246-11-3901,C,Naypyitaw,Normal,Electronic accessories,32.8,10,328,16.4
Female,493-65-6248,C,Naypyitaw,Member,Sports and travel,36.98,10,369.8,18.49
Female,438-01-4015,B,Mandalay,Member,Sports and travel,49.49,4,197.96,9.898
Female,709-58-4068,B,Mandalay,Normal,Fashion accessories,41.09,10,410.9,20.545
Female,627-95-3243,B,Mandalay,Member,Home and lifestyle,77.68,9,699.12,34.956
Female,686-41-0932,B,Mandalay,Normal,Fashion accessories,34.7,2,69.4,3.47
Female,510-09-5628,A,Yangon,Member,Fashion accessories,19.66,10,196.6,9.83
Female,608-04-3797,B,Mandalay,Member,Health and beauty,25.32,8,202.56,10.128
Female,148-82-2527,C,Naypyitaw,Member,Home and lifestyle,12.12,10,121.2,6.06
Female,556-97-7101,C,Naypyitaw,Normal,Electronic accessories,63.22,2,126.44,6.322
Female,862-59-8517,C,Naypyitaw,Normal,Food and beverages,90.24,6,541.44,27.072
Female,401-18-8016,B,Mandalay,Member,Sports and travel,98.13,1,98.13,4.9065
Female,420-18-8989,A,Yangon,Member,Sports and travel,51.52,8,412.16,20.608
Female,573-98-8548,C,Naypyitaw,Member,Fashion accessories,31.9,1,31.9,1.595
Female,282-35-2475,B,Mandalay,Normal,Sports and travel,93.31,2,186.62,9.331
Female,387-49-4215,B,Mandalay,Member,Sports and travel,48.5,3,145.5,7.275
Female,862-17-9201,B,Mandalay,Normal,Food and beverages,84.05,6,504.3,25.215
Female,602-80-9671,C,Naypyitaw,Member,Home and lifestyle,15.95,6,95.7,4.785
Female,347-72-6115,B,Mandalay,Member,Sports and travel,90.74,7,635.18,31.759
Female,209-61-0206,A,Yangon,Normal,Home and lifestyle,42.91,5,214.55,10.7275
Female,595-27-4851,A,Yangon,Normal,Fashion accessories,54.28,7,379.96,18.998
Female,413-20-6708,C,Naypyitaw,Member,Fashion accessories,51.47,1,51.47,2.5735
Female,734-91-1155,B,Mandalay,Normal,Electronic accessories,45.71,3,137.13,6.8565
Female,451-28-5717,C,Naypyitaw,Member,Home and lifestyle,83.17,6,499.02,24.951
Female,609-81-8548,A,Yangon,Member,Home and lifestyle,37.44,6,224.64,11.232
Female,719-89-8991,A,Yangon,Member,Sports and travel,91.41,5,457.05,22.8525
Female,827-44-5872,B,Mandalay,Member,Food and beverages,54.36,10,543.6,27.18
Female,236-27-1144,C,Naypyitaw,Normal,Food and beverages,16.31,9,146.79,7.3395
Female,892-05-6689,A,Yangon,Normal,Home and lifestyle,28.32,5,141.6,7.08
Female,339-12-4827,B,Mandalay,Member,Fashion accessories,73.96,1,73.96,3.698
Female,308-81-0538,A,Yangon,Normal,Fashion accessories,73.05,4,292.2,14.61
Female,358-88-9262,C,Naypyitaw,Member,Food and beverages,87.48,6,524.88,26.244
Female,173-50-1108,B,Mandalay,Member,Sports and travel,20.18,4,80.72,4.036
Female,841-18-8232,B,Mandalay,Normal,Food and beverages,71.2,1,71.2,3.56
Female,647-50-1224,A,Yangon,Normal,Fashion accessories,29.42,10,294.2,14.71
Female,539-21-7227,B,Mandalay,Normal,Sports and travel,51.54,5,257.7,12.885
Female,213-32-1216,A,Yangon,Normal,Electronic accessories,66.06,6,396.36,19.818
Female,582-52-8065,B,Mandalay,Normal,Fashion accessories,54.31,9,488.79,24.4395
Female,210-57-1719,B,Mandalay,Normal,Health and beauty,58.24,9,524.16,26.208
Female,198-66-9832,B,Mandalay,Member,Fashion accessories,72.04,2,144.08,7.204
Female,283-26-5248,C,Naypyitaw,Member,Food and beverages,98.52,10,985.2,49.26
Female,218-59-9410,A,Yangon,Member,Home and lifestyle,72.42,3,217.26,10.863
Female,134-54-4720,B,Mandalay,Normal,Electronic accessories,42.42,8,339.36,16.968
Female,698-98-5964,A,Yangon,Normal,Food and beverages,81.21,10,812.1,40.605
Female,718-57-9773,C,Naypyitaw,Normal,Sports and travel,49.33,10,493.3,24.665
Female,651-88-7328,A,Yangon,Normal,Fashion accessories,65.74,9,591.66,29.583
Female,241-11-2261,B,Mandalay,Normal,Fashion accessories,79.86,7,559.02,27.951
Female,408-26-9866,C,Naypyitaw,Normal,Sports and travel,73.98,7,517.86,25.893
Female,834-83-1826,B,Mandalay,Member,Home and lifestyle,82.04,5,410.2,20.51
Female,797-88-0493,A,Yangon,Normal,Health and beauty,64.27,4,257.08,12.854
Female,443-82-0585,A,Yangon,Member,Health and beauty,77.68,4,310.72,15.536
Female,339-18-7061,C,Naypyitaw,Member,Fashion accessories,92.98,2,185.96,9.298
Female,359-90-3665,B,Mandalay,Member,Fashion accessories,18.08,4,72.32,3.616
Female,278-86-2735,A,Yangon,Normal,Food and beverages,52.34,3,157.02,7.851
Female,695-28-6250,A,Yangon,Normal,Sports and travel,43.06,5,215.3,10.765
Female,788-07-8452,C,Naypyitaw,Member,Home and lifestyle,24.24,7,169.68,8.484
Female,560-49-6611,A,Yangon,Member,Sports and travel,45.58,1,45.58,2.279
Female,880-35-0356,A,Yangon,Member,Sports and travel,75.2,3,225.6,11.28
Female,123-35-4896,C,Naypyitaw,Normal,Sports and travel,46.66,9,419.94,20.997
Female,258-69-7810,C,Naypyitaw,Normal,Fashion accessories,36.85,5,184.25,9.2125
Female,334-64-2006,A,Yangon,Member,Home and lifestyle,70.32,2,140.64,7.032
Female,881-41-7302,C,Naypyitaw,Normal,Fashion accessories,64.99,1,64.99,3.2495
Female,642-30-6693,B,Mandalay,Normal,Sports and travel,54.51,6,327.06,16.353
Female,484-22-8230,C,Naypyitaw,Member,Fashion accessories,51.89,7,363.23,18.1615
Female,559-98-9873,A,Yangon,Member,Fashion accessories,53.65,7,375.55,18.7775
Female,544-32-5024,C,Naypyitaw,Member,Food and beverages,49.79,4,199.16,9.958
Female,421-95-9805,A,Yangon,Normal,Electronic accessories,28.96,1,28.96,1.448
Female,277-35-5865,C,Naypyitaw,Member,Food and beverages,98.97,9,890.73,44.5365
Female,509-29-3912,A,Yangon,Member,Sports and travel,38.72,9,348.48,17.424
Female,641-96-3695,C,Naypyitaw,Member,Fashion accessories,43.46,6,260.76,13.038
Female,420-97-3340,A,Yangon,Normal,Food and beverages,71.68,3,215.04,10.752
Female,436-54-4512,A,Yangon,Member,Food and beverages,91.61,1,91.61,4.5805
Female,670-79-6321,B,Mandalay,Member,Home and lifestyle,94.59,7,662.13,33.1065
Female,852-62-7105,B,Mandalay,Normal,Fashion accessories,83.25,10,832.5,41.625
Female,135-13-8269,B,Mandalay,Member,Food and beverages,78.88,2,157.76,7.888
Female,308-39-1707,A,Yangon,Normal,Fashion accessories,12.09,1,12.09,0.6045
Female,318-81-2368,C,Naypyitaw,Normal,Electronic accessories,46.2,1,46.2,2.31
Female,364-33-8584,B,Mandalay,Member,Food and beverages,17.63,5,88.15,4.4075
Female,695-09-5146,B,Mandalay,Member,Food and beverages,98.79,3,296.37,14.8185
Female,155-45-3814,C,Naypyitaw,Member,Electronic accessories,88.55,8,708.4,35.42
Female,131-15-8856,C,Naypyitaw,Member,Food and beverages,72.52,8,580.16,29.008
Female,859-71-0933,C,Naypyitaw,Member,Sports and travel,15.49,2,30.98,1.549
Female,563-47-4072,B,Mandalay,Normal,Health and beauty,55.81,6,334.86,16.743
Female,169-52-4504,A,Yangon,Normal,Electronic accessories,15.69,3,47.07,2.3535
